varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
41210#M455	Categorical multiple	109973/375(110348)	-0.0243403496524877	-0.123514757871558	0.0769989677777931	0.634126997485602	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: M45.5 Diagnostic endoscopic examination of bladder using rigid cystoscope		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20609	Categorical single	36672	-0.00447733918854321	-0.0229252223723036	0.0139705439952172	0.634293784163545	ORDERED-LOGISTIC	Liking for bananas		1039	Online follow-up		Food (and other) preferences		Food (and other) preferences	1039	Online follow-up > Food (and other) preferences
3912	Categorical single	1119/202(1321)	-0.0435963619236496	-0.222613784651083	0.137235038279002	0.634368408018403	LOGISTIC-BINARY	Adopted father still alive		100000	UK Biobank Assessment Centre	100025	Touchscreen	100034	Family history	100034	UK Biobank Assessment Centre > Touchscreen > Family history
41272#Y991	Categorical multiple	110337/11(110348)	-0.136297340196348	-0.668904531081135	0.461667950035703	0.634374580126105	LOGISTIC-BINARY	Operative procedures - OPCS4: Y99.1 Cadaveric donor		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#Y991	Categorical multiple	110337/11(110348)	-0.136297340196348	-0.668904531081135	0.461667950035703	0.634374580126105	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: Y99.1 Cadaveric donor		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20242	Categorical single	26099	-0.00887729806869737	-0.0454861658415241	0.0277315697041294	0.63459058350556	ORDERED-LOGISTIC	Fluid intelligence completion status		100089	Online follow-up	116	Cognitive function online	118	Fluid intelligence / reasoning	118	Online follow-up > Cognitive function online > Fluid intelligence / reasoning
41210#A681	Categorical multiple	110336/12(110348)	-0.13066343787704	-0.641807005723805	0.44202830335408	0.634632402281768	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: A68.1 Primary neurolysis of peripheral nerve and transposition of peripheral nerve		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#G674	Categorical multiple	110311/37(110348)	-0.0763581705314819	-0.381445927295065	0.24961597850256	0.634657417321295	LOGISTIC-BINARY	Operative procedures - OPCS4: G67.4 Intubation of jejunum NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
22610#1	Categorical single	16640/7042(23682)	0.00696920978405628	-0.0217483293256135	0.0357528866111123	0.634699658194648	LOGISTIC-BINARY	Workplace full of chemical or other fumes		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
102450	Categorical single	14428	0.0252903674625785	-0.079040347041088	0.129621081966245	0.634711983911763	ORDERED-LOGISTIC	Seeds intake		100089	Online follow-up	100090	Diet by 24-hour recall	100109	Soup/snacks/pastries yesterday	100109	Online follow-up > Diet by 24-hour recall > Soup/snacks/pastries yesterday
