varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
22617#3416	Categorical single	85635/230(85865)	-0.00444629399666515	-0.132573843648767	0.127232525277698	0.946498542042142	LOGISTIC-BINARY	Job code - historical		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
41272#K598	Categorical multiple	343619/43(343662)	-0.0101587030818976	-0.29776685635201	0.296830113881377	0.946524326767196	LOGISTIC-BINARY	Operative procedures - OPCS4: K59.8 Other specified cardioverter defibrillator introduced through the vein		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#E342	Categorical multiple	343320/342(343662)	0.00363241752436099	-0.101468970439191	0.111191937583608	0.946607382370705	LOGISTIC-BINARY	Operative procedures - main OPCS4: E34.2 Microtherapeutic endoscopic resection of lesion of larynx NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#G029	Categorical multiple	343647/15(343662)	-0.0171508529719436	-0.494813442637328	0.514468484350773	0.946658587607393	LOGISTIC-BINARY	Operative procedures - main OPCS4: G02.9 Unspecified total excision of oesophagus		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#T343	Categorical multiple	343576/86(343662)	0.00722820324754358	-0.199877331644215	0.224122729194229	0.946681770088301	LOGISTIC-BINARY	Operative procedures - main OPCS4: T34.3 Open drainage of abdominal abscess NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
22601#34313159	Categorical single	85412/453(85865)	0.0031664737436398	-0.0887579429292812	0.0969160017337746	0.946692902083931	LOGISTIC-BINARY	Job coding		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
22617#3431	Categorical single	85412/453(85865)	0.0031664737436398	-0.0887579429292812	0.0969160017337746	0.946692902083931	LOGISTIC-BINARY	Job code - historical		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
40006#C166	Categorical single	343652/10(343662)	0.0213140029721575	-0.565340236144531	0.692018949694013	0.946694934225137	LOGISTIC-BINARY	Type of cancer: ICD10		100091	Health-related outcomes	100092	Cancer register	100092	Cancer register	100092	Health-related outcomes > Cancer register
41272#V269	Categorical multiple	343621/41(343662)	-0.0104291048685797	-0.306893388740205	0.306392090024247	0.946772995248664	LOGISTIC-BINARY	Operative procedures - OPCS4: V26.9 Unspecified revisional decompression operations on lumbar spine		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#J539	Categorical multiple	343401/261(343662)	-0.0041317103510926	-0.123886436353085	0.118788296873018	0.946775974734317	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: J53.9 Unspecified endoscopic ultrasound examination of bile duct		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20003#1140864286	Categorical multiple	343063/556(343619)	0.0028288186255279	-0.0797590979562654	0.0869242481242847	0.946952584515948	LOGISTIC-BINARY	Treatment/medication code: flixotide 25micrograms inhaler		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
41210#M343	Categorical multiple	343648/14(343662)	0.0178577128113701	-0.481451292223828	0.576988989439001	0.947027492575148	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: M34.3 Cystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#P052	Categorical multiple	343589/73(343662)	0.00780244062588716	-0.217171845921311	0.244084485963963	0.947085794972288	LOGISTIC-BINARY	Operative procedures - main OPCS4: P05.2 Partial excision of vulva		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20487	Categorical single	111972	-0.000561532565819551	-0.0171628538231867	0.0160397886915476	0.947142159776734	ORDERED-LOGISTIC	Felt hated by family member as a child		100089	Online follow-up	136	Mental health	145	Traumatic events	145	Online follow-up > Mental health > Traumatic events
41200#V482	Categorical multiple	343627/35(343662)	0.0112807632398185	-0.310984383406378	0.357821510785965	0.947187105202938	LOGISTIC-BINARY	Operative procedures - main OPCS4: V48.2 Denervation of spinal facet joint of cervical vertebra NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
25080	Continuous	28849	0.000379077020856532	-0.0108591943444279	0.011617348386141	0.947287422366994	LINEAR	Mean FA in superior corona radiata on FA skeleton (right)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	134	UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton
4288	Integer	113268	-0.000192207514770673	-0.00589039234784616	0.00550597731830482	0.947288014191243	LINEAR	Time to answer		100000	UK Biobank Assessment Centre	100026	Cognitive function	100031	Prospective memory	100031	UK Biobank Assessment Centre > Cognitive function > Prospective memory
