varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
41210#V411	Categorical multiple	135848/42(135890)	0.0794313821782884	-0.221078514473475	0.401268485177411	0.616336110155438	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: V41.1 Posterior attachment of correctional instrument to spine		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#W902	Categorical multiple	135783/107(135890)	0.0494008271881634	-0.139888747353985	0.246861372490127	0.616364462054081	LOGISTIC-BINARY	Operative procedures - OPCS4: W90.2 Arthrography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#408	Categorical multiple	135880/10(135890)	0.166964325396731	-0.440900499704766	0.872801840203453	0.616389711620746	LOGISTIC-BINARY	Operative procedures - OPCS4		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
25348	Continuous	12440	0.00434111967030815	-0.0126452767502201	0.0213275160908364	0.616418012443443	LINEAR	Mean ICVF in splenium of corpus callosum on FA skeleton		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	134	UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton
22601#21133023	Categorical single	34948/268(35216)	-0.030359700555094	-0.147714921584545	0.0899554544495762	0.616458754552855	LOGISTIC-BINARY	Job coding		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
20003#1140884308	Categorical multiple	135693/175(135868)	0.0384474642908737	-0.10958232682201	0.191455559713455	0.616493269428581	LOGISTIC-BINARY	Treatment/medication code: hydroxychloroquine		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
23268	Continuous	4531	-0.00493193917587277	-0.0242443707524176	0.0143804924006721	0.616632924439003	LINEAR	Leg tissue fat percentage (left)		100000	UK Biobank Assessment Centre	100003	Imaging	103	DXA assessment	124	UK Biobank Assessment Centre > Imaging > DXA assessment > Body composition by DXA
42040	Integer	64165	-0.00188682301523556	-0.00927418999380158	0.00550054396333046	0.616648755985093	LINEAR	GP clinical event records		3001	Health-related outcomes		Primary care		Primary care	3001	Health-related outcomes > Primary care > Record-level access
25537	Continuous	12441	-0.0042028298604819	-0.0206661644791714	0.0122605047582076	0.616804670846168	LINEAR	Weighted-mean MD in tract superior longitudinal fasciculus (right)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	135	UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means
41210#302	Categorical multiple	135873/17(135890)	0.127786644714599	-0.347508198489966	0.657226384219122	0.616818382741032	LOGISTIC-BINARY	Operative procedures - secondary OPCS4		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
